"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65"
"consent_received.individual_information.hh_head_number_count",1,1,1,1,2,2,1,1,1,1,1,1,2,1,3,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,0,1,1,1,1,1,1,2,1,2,1,1,1,0,1,1,1,1,2,1,2,1
"consent_received.individual_information.hhead_warning",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.individual_information.individual_group_end",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.wash.primary_watsource",2,1,1,3,4,2,3,1,3,2,3,2,3,2,4,3,2,2,3,2,3,2,3,3,2,3,2,2,2,2,3,2,2,3,2,3,2,3,2,2,3,3,1,1,2,2,3,2,3,1,2,2,2,2,2,2,1,2,2,2,1,2,2,4,2
"consent_received.wash.primary_watsource_other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.wash.improved_water_access",2,1,1,2,2,3,3,2,2,4,3,3,2,3,3,3,3,3,2,2,3,3,2,2,2,1,1,2,2,2,2,2,3,2,2,3,2,3,2,3,2,2,1,1,2,3,2,4,2,1,1,3,3,2,2,2,1,2,2,3,1,2,2,3,2
"consent_received.wash.improved_water_access_other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.wash.enough_water",2,1,2,2,3,2,3,1,2,3,3,3,2,2,3,3,2,3,3,3,2,2,2,3,2,1,1,2,3,2,2,2,3,3,3,2,3,2,2,3,3,2,1,1,3,3,2,3,3,1,1,2,3,2,2,3,1,3,3,3,1,3,3,3,2
"consent_received.wash.hh_water_problem",2,1,1,3,3,2,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,1,3,3,2,3,3,2,2,3,3,2,2,3,1,3,3,3,1,3,3,3,2
"consent_received.wash.water_collection_problem",2,1,1,3,4,1,2,3,2,4,4,2,1,3,4,5,2,2,3,1,3,2,3,3,1,3,3,2,4,4,2,2,1,2,5,3,3,2,1,2,2,3,2,1,3,2,1,5,5,2,2,2,2,1,1,4,1,2,2,2,1,2,2,6,2
"consent_received.wash.water_collection_problem.too_far",1,0,0,2,2,0,1,2,1,2,2,1,0,1,1,2,1,1,2,0,2,1,2,1,0,2,2,1,1,1,1,1,0,1,2,1,1,1,0,1,1,2,1,0,1,1,0,2,2,1,1,1,1,0,0,1,0,1,1,1,1,1,1,2,1
"consent_received.wash.water_collection_problem.too_steep",1,0,0,2,1,0,1,1,1,2,2,1,0,2,2,2,1,1,1,0,1,1,2,1,0,2,1,1,1,2,1,1,0,1,1,2,2,1,0,1,1,1,1,0,1,1,0,1,2,1,1,1,1,0,0,2,0,1,1,1,1,1,1,2,1
"consent_received.wash.water_collection_problem.available_sometime",1,0,0,1,2,0,1,1,1,1,2,1,0,2,1,1,1,1,1,0,2,1,2,1,0,2,1,1,1,2,1,1,0,1,2,2,1,1,0,1,1,2,1,0,1,1,0,2,2,1,1,1,1,0,0,1,0,1,1,1,1,1,1,2,1
"consent_received.wash.water_collection_problem.dangerous",1,0,0,2,2,0,1,1,1,1,1,1,0,2,2,2,1,1,1,0,2,1,1,2,0,1,1,1,1,1,1,1,0,1,2,2,1,1,0,1,1,2,1,0,2,1,0,1,1,1,1,1,1,0,0,2,0,1,1,1,1,1,1,1,1
"consent_received.wash.water_collection_problem.tastes_bad",1,0,0,2,2,0,1,1,1,1,1,1,0,1,1,2,1,1,1,0,1,1,1,1,0,1,2,1,2,1,1,1,0,1,1,2,2,1,0,1,1,1,1,0,1,1,0,2,2,1,1,1,1,0,0,2,0,1,1,1,1,1,1,2,1
"consent_received.wash.water_collection_problem.water_badsmell",1,0,0,2,2,0,1,1,1,1,1,1,0,1,1,2,1,1,2,0,1,1,1,1,0,1,1,1,2,1,1,1,0,1,1,1,2,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,2,0,1,1,1,1,1,1,1,1
"consent_received.wash.water_collection_problem.water_notclean",1,0,0,1,2,0,1,1,1,1,1,1,0,1,1,2,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,2,0,1,1,1,1,1,1,1,1
"consent_received.wash.water_collection_problem.dont_know",1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
"consent_received.wash.water_collection_problem.other",1,0,0,1,1,0,1,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
"consent_received.wash.water_collection_problem_other",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"consent_received.wash.water_source_time",2,1,2,3,3,2,4,2,3,4,4,3,3,4,4,3,3,3,3,2,4,3,3,5,2,3,3,2,2,4,3,3,5,5,4,4,3,3,3,3,3,3,1,1,4,4,3,3,3,2,2,3,3,2,2,4,1,2,3,3,1,3,4,5,2
"consent_received.wash.water_collection_time",2,1,2,4,4,3,3,1,2,4,4,3,3,5,3,3,2,2,3,2,3,2,2,6,2,3,2,2,2,5,2,2,5,3,5,3,2,3,2,3,3,2,1,1,4,2,3,3,5,2,2,2,4,2,2,4,1,2,2,3,1,3,3,5,2
"consent_received.wash.water_treatment",2,1,2,3,3,3,3,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,2,1,3,3,2,3,2,3,3,3,3,2,2,3,2,2,2,1,1,2,2,2,2,3,1,2,2,2,2,2,3,1,2,2,2,1,2,2,3,2
"consent_received.wash.water_treatment_time",2,1,2,3,2,2,2,2,2,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,2,2,1,2,2,1,3,1,2,2,3,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,3,1,1,1,1,1,2,1
"consent_received.wash.water_treatment_method",2,1,2,3,2,2,2,2,2,1,1,1,1,1,3,3,1,1,1,1,1,1,2,1,2,3,1,2,2,1,3,1,2,2,3,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1
"consent_received.wash.water_treatment_method.aquatabs",1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
"consent_received.wash.water_treatment_method.pur_sachets",1,0,1,2,1,1,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
"consent_received.wash.water_treatment_method.boiling",1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
"consent_received.wash.water_treatment_method.cloth_filters",1,0,1,1,1,1,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,2,0,1,1,0,2,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
"consent_received.wash.water_treatment_method.household_filters",1,0,1,1,1,1,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,2,0,1,1,0,2,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
"consent_received.wash.water_treatment_method.solar_disinfection",1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
"consent_received.wash.water_treatment_method.other",1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
"consent_received.wash.water_treatment_method_other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.wash.soap_handwash",1,1,1,3,2,3,2,1,2,2,3,2,2,2,2,4,2,4,2,2,2,4,3,3,2,2,1,2,3,3,3,2,2,3,2,3,3,2,2,2,3,3,2,1,3,2,2,2,4,1,1,2,2,2,2,3,1,3,2,2,1,2,2,2,2
"consent_received.wash.hh_defecation",1,1,1,2,3,2,2,2,3,3,3,2,2,2,3,3,2,2,4,2,3,2,3,3,2,2,1,3,3,3,2,3,2,3,2,2,2,2,2,4,3,2,1,1,3,4,3,2,3,1,2,2,2,2,2,3,1,2,3,3,1,2,3,3,2
"consent_received.wash.hh_defecation_other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.wash.latrine_access",1,1,2,3,3,2,2,2,3,3,3,3,2,2,3,3,2,3,3,2,3,2,3,3,2,2,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,1,3,3,2,3,3,1,2,2,2,2,2,3,1,2,3,3,1,3,3,3,2
"consent_received.wash.latrine_access_problems",1,1,2,4,3,1,1,4,4,4,4,3,1,1,4,2,1,3,5,1,3,1,4,3,1,2,1,3,4,4,2,3,1,2,2,2,3,3,2,2,3,4,1,1,3,4,1,5,3,1,6,1,6,1,1,6,1,3,3,3,1,2,4,6,2
"consent_received.wash.latrine_access_problems.latrine_too_far",0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,2,0,2,1,0,1,0,2,1,2,1,2,0,1,1,1,1,1,1,1,1,1,0,0,2,2,0,1,2,0,1,0,2,0,0,2,0,1,1,1,0,1,2,1,1
"consent_received.wash.latrine_access_problems.too_many_using",0,0,1,1,1,0,0,1,2,1,2,1,0,0,2,1,0,2,1,0,2,0,2,2,0,1,0,2,2,1,1,1,0,1,1,1,1,1,1,1,1,2,0,0,2,1,0,2,2,0,2,0,1,0,0,2,0,2,1,2,0,1,2,2,1
"consent_received.wash.latrine_access_problems.latrine_notclean",0,0,1,1,2,0,0,1,2,2,2,2,0,0,1,1,0,2,2,0,1,0,2,1,0,1,0,2,2,2,1,1,0,1,1,1,1,1,1,1,2,2,0,0,1,1,0,1,1,0,2,0,2,0,0,2,0,2,2,1,0,1,2,2,1
"consent_received.wash.latrine_access_problems.insufficient_water",0,0,1,1,1,0,0,2,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,2,0,1,0,1,2,2,1,1,0,1,1,1,2,2,1,1,1,1,0,0,2,1,0,1,2,0,1,0,1,0,0,2,0,1,1,1,0,1,1,2,1
"consent_received.wash.latrine_access_problems.bad_smell",0,0,1,1,1,0,0,2,2,2,1,1,0,0,1,1,0,2,2,0,1,0,2,1,0,1,0,1,1,2,1,2,0,1,1,1,2,1,1,1,1,1,0,0,2,1,0,1,1,0,2,0,2,0,0,2,0,1,1,1,0,1,1,2,1
"consent_received.wash.latrine_access_problems.open_defecation_near_lat",0,0,1,2,1,0,0,1,1,1,1,1,0,0,1,1,0,1,2,0,1,0,1,1,0,1,0,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,2,2,0,2,1,0,1,0,2,0,0,1,0,1,1,1,0,1,2,1,1
"consent_received.wash.latrine_access_problems.not_private",0,0,1,1,2,0,0,2,2,1,2,2,0,0,2,1,0,2,2,0,1,0,1,2,0,1,0,1,2,1,1,2,0,1,1,1,1,1,1,1,1,2,0,0,1,1,0,1,1,0,1,0,1,0,0,2,0,2,2,2,0,1,2,2,1
"consent_received.wash.latrine_access_problems.no_separation",0,0,1,1,1,0,0,2,2,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,2,0,0,1,0,1,1,1,0,1,1,1,1
"consent_received.wash.latrine_access_problems.route_not_safe",0,0,1,2,1,0,0,1,1,1,1,1,0,0,2,1,0,1,1,0,2,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,0,0,1,1,0,1,1,0,2,0,2,0,0,2,0,1,1,2,0,1,1,1,1
"consent_received.wash.latrine_access_problems.latrine_not_safe",0,0,1,2,1,0,0,2,2,2,2,2,0,0,2,1,0,1,1,0,2,0,1,1,0,1,0,2,1,2,1,2,0,1,1,1,1,1,1,1,2,2,0,0,1,2,0,1,1,0,2,0,2,0,0,2,0,1,1,1,0,1,1,2,1
"consent_received.wash.latrine_access_problems.no_lighting",0,0,1,1,1,0,0,2,1,1,1,1,0,0,1,1,0,1,2,0,1,0,2,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,2,0,2,0,0,1,0,2,1,2,0,1,2,1,1
"consent_received.wash.latrine_access_problems.dont_know",0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1
"consent_received.wash.latrine_access_problems.other",0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1
"consent_received.wash.latrine_access_problems_other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.wash.handwash_times",2,2,2,6,6,8,4,7,4,5,6,5,4,8,7,10,4,7,6,3,4,5,7,9,2,4,7,7,8,8,8,4,6,7,8,8,9,10,6,6,6,6,2,1,5,6,3,5,8,2,7,4,6,2,2,7,1,3,5,2,1,3,8,13,2
"consent_received.wash.handwash_times.before_eating",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,1,0,1,1,1,2,1,1,2,1,2,1,1,1,0,1,1,1,1,1,2,1,1
"consent_received.wash.handwash_times.before_cooking",2,1,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,0,2,1,1,1,2,1,2,1,1,1,1,2,0,2,2,1,1,1,2,2,1
"consent_received.wash.handwash_times.after_defecation",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1,0,1,1,1,2,1,1,1,1,2,1,1,1,0,1,1,1,1,1,2,1,1
"consent_received.wash.handwash_times.before_breastfeeding",1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,1,2,2,2,1,1,2,1,0,1,2,1,1,2,2,1,1,1,1,1,2,0,1,1,1,1,1,2,1,1
"consent_received.wash.handwash_times.before_feeding_chid",1,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,1,1,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"consent_received.wash.handwash_times.after_child_bottom",1,1,2,1,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,0,1,1,1,2,1,1,2,1,2,1,1,1,0,1,1,1,1,1,2,2,1
"consent_received.wash.handwash_times.before_prayer",1,1,2,2,2,2,1,1,2,1,2,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,1,0,1,1,1,2,1,2,2,2,1,1,1,2,0,2,2,1,1,1,2,2,1
"consent_received.wash.handwash_times.hands_look_dirty",1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,0,2,2,2,1,1,1,2,2,2,1,1,2,0,1,2,1,1,1,2,1,1
"consent_received.wash.handwash_times.hands_feel_dirty",1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,2,1,2,2,1,1,2,2,1,2,2,1,2,1,2,2,1,1,2,1,2,1,1,0,1,2,2,1,1,1,2,2,1,1,1,2,0,2,1,1,1,1,1,1,1
"consent_received.wash.handwash_times.other",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"consent_received.wash.handwash_times.dntknow_prefer",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"consent_received.wash.handwash_times.after_eating",1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,0,1,1,1,1,2,1,1,1,2,1,1,1,0,2,1,1,1,1,1,2,1
"consent_received.wash.handwash_times_other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.wash.visible_trash",2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,2,2,3,2,1,3,3,2,3,3,1,2,2,3,2,2,3,1,3,2,2,1,2,3,3,2
